gutenberg id,title,authors
10321,Dragon's blood,"frozenset({'Rideout, Henry Milner'})"
10322,Miss Prudence,"frozenset({'Conklin, Nathaniel, Mrs.'})"
10323,The Rover Boys at College,"frozenset({'Stratemeyer, Edward'})"
10324,Bull Hunter,"frozenset({'Brand, Max'})"
10325,The Gospel of the Pentateuch,"frozenset({'Kingsley, Charles'})"
10326,David,"frozenset({'Kingsley, Charles'})"
10327,Alias The Lone Wolf,"frozenset({'Vance, Louis Joseph'})"
10328,Poems,"frozenset({'Cassels, Walter Richard'})"
10329,Snubby Nose and Tippy Toes,"frozenset({'Smith, Laura Rountree'})"
1032,The Pupil,"frozenset({'James, Henry'})"
10330,Fruitfulness,"frozenset({'Zola, Émile'})"
10331,"The Mirror of Literature, Amusement, and Instruction",frozenset({'Various'})
10332,"The Mirror of Literature, Amusement, and Instruction",frozenset({'Various'})
10333,The European Anarchy,"frozenset({'Dickinson, G. Lowes (Goldsworthy Lowes)'})"
10335,Children's Rights and Others,"frozenset({'Wiggin, Kate Douglas Smith'})"
10336,"A Select Collection of Old English Plays, Vol. VII (4th edition)",frozenset()
10337,Lady Into Fox,"frozenset({'Garnett, David'})"
10338,With the Turks in Palestine,"frozenset({'Aaronsohn, Alexander'})"
1033,Rose O' the River,"frozenset({'Wiggin, Kate Douglas Smith'})"
10340,Dab Kinzer,"frozenset({'Stoddard, William O.'})"
10341,"The Great Events by Famous Historians, Vol. 21",frozenset()
10342,The Velvet Glove,"frozenset({'Merriman, Henry Seton'})"
10343,"The Works of Charles and Mary Lamb, Volume 2","frozenset({'Lamb, Mary', 'Lamb, Charles'})"
10345,Domestic Manners of the Americans,"frozenset({'Trollope, Frances Milton'})"
10348,Audio: Go to Sea Once More,"frozenset({'McGuinn, Roger'})"
1034,Poems,"frozenset({'Owen, Wilfred'})"
10350,"The Works of Samuel Johnson, Vol. 6","frozenset({'Johnson, Samuel'})"
10351,"The Works of Samuel Johnson, Vol. 10.","frozenset({'Johnson, Samuel'})"
10352,"The Works of Samuel Johnson, Vol. 11.","frozenset({'Johnson, Samuel'})"
10355,"Travels in Morocco, Vol. 1.","frozenset({'Richardson, James'})"
10356,"Travels in Morocco, Vol. 2.","frozenset({'Richardson, James'})"
10357,"Life Of Johnson, Volume 4 (of 6)","frozenset({'Boswell, James'})"
10358,The Boss of Little Arcady,"frozenset({'Wilson, Harry Leon'})"
10359,Aunt Jane's Nieces at Millville,"frozenset({'Baum, L. Frank (Lyman Frank)'})"
1035,The Man Against the Sky,"frozenset({'Robinson, Edwin Arlington'})"
10360,Kitty's Class Day And Other Stories,"frozenset({'Alcott, Louisa May'})"
10361,The Creative Process in the Individual,"frozenset({'Troward, T. (Thomas)'})"
10362,Sketches of the East Africa Campaign,"frozenset({'Dolbey, Robert Valentine'})"
10363,The Bravo,"frozenset({'Cooper, James Fenimore'})"
